b1->4.626147,-74.069265

b2->4.626464, -74.069623

b3->4.625770, -74.069024

b4->4.625779, -74.069231

b5->4.625631, -74.069328

b6->4.626329, -74.068015

b7->4.621259, -74.066872

b8->4.629936, -74.068748

b9->4.630140, -74.068682

b10->4.626820, -74.068998

b11->--------, ----------

b12->4.626190, -74.069842

b13->4.632002, -74.067967

b14->4.626541, -74.068931

b15->4.626444, -74.068891

b16->4.625477, -74.068840

b17->4.598146, -74.074193

b18->4.578702, -74.123886

b19->4.630478, -74.068994

b20->--------, ----------
b21->--------, ----------
b22->--------, ----------
b23->4.632837, -74.067781

b24->4.625819, -74.069918

b25->4.629480, -74.070534

b26->4.631978, -74.069014

b27->4.626844, -74.069181

b28->4.630934, -74.067182

b29->--------, ----------
b30->4.626031, -74.068111

b31->4.751034, -74.031033

b32->4.628583, -74.068294

b33->4.634768, -74.067159

b34->4.626834, -74.069096

b35->4.629667, -74.068308
